Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust-phw.json	28725	-	0	0	0	0	0	0	11	59	0	0	0	0	0	0	0	1	0	0	114	170	0	0	0	0	5	0	1
fsh-generated/resources/ActorDefinition-ConsentRegistry.json	517	5	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Holder.json	601	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	702	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	12	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	712	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	507	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	541	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	7	10	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocExample.json	5531	10	0	0	0	0	0	0	1	1327	0	0	0	0	0	0	0	0	0	0	15	46	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8888	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	571	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	65	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3921	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	15	117	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1126	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	9	64	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HL.TYPE.json	552	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	57	0	0	0	0	1	0	0
fsh-generated/resources/Organization-ExampleManufacturerOrg.json	99	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-PreQual.json	3882	6	0	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	57	144	0	0	0	0	2	0	0
fsh-generated/resources/Requirements-accept-mtls-connection.json	397	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	10	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-distribute-pki-material.json	443	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-initiate-mtls-connection.json	407	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-provide-a-vhl-to-a-receiver.json	413	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	1	0	0
fsh-generated/resources/Requirements-publish-pki-material.json	381	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-receive-a-vhl.json	381	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	3	0	0
fsh-generated/resources/Requirements-receive-pki-material.json	434	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0	0
fsh-generated/resources/Requirements-retrieve-pki-material.json	464	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-DVC.json	1537	2	0	450	0	0	1	0	0	214	0	0	2	0	0	0	0	8	0	0	1870	4249	0	0	0	0	95	1	8
fsh-generated/resources/StructureDefinition-Bundle-uv-ips-PreQual.json	1580	1	0	387	0	0	0	0	0	167	0	0	2	0	0	0	0	8	0	0	1808	1937	0	0	0	0	59	1	8
fsh-generated/resources/StructureDefinition-Composition-uv-ips-DVC.json	1540	2	0	110	0	0	0	0	0	62	0	0	0	0	0	0	0	4	0	0	706	1250	0	0	0	0	15	1	3
fsh-generated/resources/StructureDefinition-Composition-uv-ips-PreQual.json	1612	1	0	108	0	0	0	0	0	77	0	0	1	0	0	0	0	3	0	0	693	1050	0	0	0	0	14	0	3
fsh-generated/resources/StructureDefinition-DVC.json	5874	4	0	17	0	0	0	0	0	523	0	0	0	0	0	0	0	0	0	0	74	134	0	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-DVCBundle.json	3012	2	0	67	1	0	0	0	0	34	0	0	0	0	0	0	0	1	0	0	265	429	0	0	0	0	7	1	1
fsh-generated/resources/StructureDefinition-DVCComposition.json	5135	5	0	22	0	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	236	316	0	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-DVCImmunization.json	2196	1	0	17	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	122	256	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-DVCMin.json	3647	2	0	6	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	37	86	0	0	0	0	1	0	1
