Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust-phw.json	27135	-	0	0	0	0	0	0	14	85	0	0	0	0	0	0	0	1	1	0	123	152	0	0	0	0	8	0	2
fsh-generated/resources/ActorDefinition-ConsentRegistry.json	517	8	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	20	68	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Holder.json	601	6	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	24	30	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	702	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	27	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	712	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	19	31	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	507	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	19	44	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	541	6	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	0	0	0	20	26	0	0	0	0	1	0	0
fsh-generated/resources/Bundle-DVCDocExample.json	5377	7	22	0	0	0	0	0	0	2578	0	0	0	0	0	0	0	0	0	0	24	373	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8825	11	7	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24	36	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	570	6	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	17	455	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3920	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	26	108	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DocumentationSections.json	1126	5	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	23	56	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HL.TYPE.json	552	4	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	17	47	0	0	0	0	1	0	0
fsh-generated/resources/GraphDefinition-GenerateVHL.json	5876	6	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	27	24	0	0	0	0	0	0	0
fsh-generated/resources/Questionnaire-PreQual.json	8672	6	0	0	0	0	0	0	2	651	0	0	0	0	0	0	0	1	0	0	71	1730	0	0	0	0	3	0	0
