Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust-phw.json	27031	-	0	0	0	0	0	0	15	68	0	0	0	0	0	0	0	1	0	0	135	204	0	0	0	0	7	0	1
fsh-generated/resources/ActorDefinition-ConsentRegistry.json	517	8	0	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	20	65	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Holder.json	601	14	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	18	76	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	702	12	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	26	53	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	712	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	507	6	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	41	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	541	7	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	17	42	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocExample.json	5477	9	20	0	0	0	0	0	1	1722	0	0	0	0	0	0	0	0	0	0	23	271	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8834	11	7	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	22	42	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	571	8	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	15	539	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3921	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	24	170	0	0	0	0	1	0	0
