Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.trust-phw.json	29311	-	0	0	0	0	0	0	18	42	0	0	0	0	0	0	0	1	0	0	111	207	0	0	0	0	3	0	1
fsh-generated/resources/ActorDefinition-ConsentRegistry.json	517	7	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	7	16	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Holder.json	601	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Issuer.json	702	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Receiver.json	712	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkAnchor.json	507	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrustNetworkParticipant.json	541	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0
fsh-generated/resources/Bundle-DVCDocExample.json	5531	14	0	0	0	0	0	0	1	979	0	0	0	0	0	0	0	0	0	0	12	33	0	0	0	1	0	0	0
fsh-generated/resources/Bundle-DVCDocSDExample.json	8888	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-DVCRelationshipStatus.json	571	2	0	0	0	0	1	0	1	5	0	0	1	0	0	0	0	0	0	0	4	55	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-DisclosureStatements.json	3921	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	92	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-DocumentationSections.json	1126	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	41	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HL.TYPE.json	552	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	34	0	0	0	0	0	0	0
